REVIDX {'True Positives.N': 2278L, 'Setup.Runtime': 0.63, 'Distinct Edges.N': 34536981L, 'Scoring.Runtime': 25.150000000000027, 'F-Measure.F-Measure': 0.0004660720803591742, 'Setup.Memory': 40685568L, 'Scoring.Memory': 1606230016L, 'False Positives.N': 9762862, 'Recall.Recall': 0.22394809280377506, 'Average Weight.N': 1.4046382919225047, 'Graph.Memory': 40833024L, 'Ground Truth Entity Pairs.N': 10172, 'Pruning.Runtime': 109.94999999999999, 'Precision.Precision': 0.00023327878555760593, 'Overall Runtime.Runtime': 246.48, 'Records.N': 12000, 'Pruning.Memory': 1036468224L, 'Total Weight.N': 48511966L, 'Graph.Runtime': 110.71000000000001, 'False Negatives.N': 7894, 'RevIdx.Runtime': 0.039999999999999925, 'Output Entity Pairs.N': 9765140, 'RevIdx.Memory': 40824832L}
REVIDX {'True Positives.N': 2712L, 'Setup.Runtime': 0.6699999999999999, 'Distinct Edges.N': 41932236L, 'Scoring.Runtime': 28.60999999999998, 'F-Measure.F-Measure': 0.0004984139702936452, 'Setup.Memory': 41799680L, 'Scoring.Memory': 1689423872L, 'False Positives.N': 10867689, 'Recall.Recall': 0.2237808400033006, 'Average Weight.N': 1.369462363037354, 'Graph.Memory': 42000384L, 'Ground Truth Entity Pairs.N': 12119, 'Pruning.Runtime': 128.10000000000005, 'Precision.Precision': 0.00024948481661348095, 'Overall Runtime.Runtime': 286.83, 'Records.N': 13000, 'Pruning.Memory': 1119555584L, 'Total Weight.N': 57424619L, 'Graph.Runtime': 129.41, 'False Negatives.N': 9407, 'RevIdx.Runtime': 0.040000000000000036, 'Output Entity Pairs.N': 10870401, 'RevIdx.Memory': 41992192L}
REVIDX {'True Positives.N': 2948L, 'Setup.Runtime': 0.74, 'Distinct Edges.N': 49548934L, 'Scoring.Runtime': 38.83999999999998, 'F-Measure.F-Measure': 0.00047870633672086806, 'Setup.Memory': 42864640L, 'Scoring.Memory': 2065604608L, 'False Positives.N': 12300697, 'Recall.Recall': 0.22882868896996042, 'Average Weight.N': 1.3527828873170107, 'Graph.Memory': 43094016L, 'Ground Truth Entity Pairs.N': 12883, 'Pruning.Runtime': 149.09, 'Precision.Precision': 0.0002396037922095444, 'Overall Runtime.Runtime': 339.62, 'Records.N': 14000, 'Pruning.Memory': 1495666688L, 'Total Weight.N': 67028950L, 'Graph.Runtime': 150.92, 'False Negatives.N': 9935, 'RevIdx.Runtime': 0.030000000000000027, 'Output Entity Pairs.N': 12303645, 'RevIdx.Memory': 43085824L}
REVIDX {'True Positives.N': 3162L, 'Setup.Runtime': 0.79, 'Distinct Edges.N': 57081362L, 'Scoring.Runtime': 45.400000000000055, 'F-Measure.F-Measure': 0.0004546504181144689, 'Setup.Memory': 44142592L, 'Scoring.Memory': 2184798208L, 'False Positives.N': 13892810, 'Recall.Recall': 0.23222679200940072, 'Average Weight.N': 1.3445927061095704, 'Graph.Memory': 44363776L, 'Ground Truth Entity Pairs.N': 13616, 'Pruning.Runtime': 173.92, 'Precision.Precision': 0.00022754795418413335, 'Overall Runtime.Runtime': 395.74, 'Records.N': 15000, 'Pruning.Memory': 1614856192L, 'Total Weight.N': 76751183L, 'Graph.Runtime': 175.6, 'False Negatives.N': 10454, 'RevIdx.Runtime': 0.029999999999999916, 'Output Entity Pairs.N': 13895972, 'RevIdx.Memory': 44355584L}
REVIDX {'True Positives.N': 3383L, 'Setup.Runtime': 0.88, 'Distinct Edges.N': 65322709L, 'Scoring.Runtime': 55.680000000000014, 'F-Measure.F-Measure': 0.00043536790936986254, 'Setup.Memory': 45395968L, 'Scoring.Memory': 2307629056L, 'False Positives.N': 15523315, 'Recall.Recall': 0.23855863479303294, 'Average Weight.N': 1.3356801384339403, 'Graph.Memory': 46419968L, 'Ground Truth Entity Pairs.N': 14181, 'Pruning.Runtime': 219.94000000000003, 'Precision.Precision': 0.00021788277198410118, 'Overall Runtime.Runtime': 480.42, 'Records.N': 16000, 'Pruning.Memory': 1737637888L, 'Total Weight.N': 87250245L, 'Graph.Runtime': 203.89, 'False Negatives.N': 10798, 'RevIdx.Runtime': 0.030000000000000027, 'Output Entity Pairs.N': 15526698, 'RevIdx.Memory': 46411776L}
REVIDX {'True Positives.N': 3739L, 'Setup.Runtime': 1.04, 'Distinct Edges.N': 75946003L, 'Scoring.Runtime': 54.360000000000056, 'F-Measure.F-Measure': 0.0004450828316529244, 'Setup.Memory': 46424064L, 'Scoring.Memory': 2940502016L, 'False Positives.N': 16782637, 'Recall.Recall': 0.24941631645654058, 'Average Weight.N': 1.3109939834490039, 'Graph.Memory': 47259648L, 'Ground Truth Entity Pairs.N': 14991, 'Pruning.Runtime': 227.01000000000002, 'Precision.Precision': 0.00022274015546893503, 'Overall Runtime.Runtime': 541.7099999999999, 'Records.N': 17000, 'Pruning.Memory': 1833693184L, 'Total Weight.N': 99564753L, 'Graph.Runtime': 259.24999999999994, 'False Negatives.N': 11252, 'RevIdx.Runtime': 0.050000000000000044, 'Output Entity Pairs.N': 16786376, 'RevIdx.Memory': 47251456L}
REVIDX {'True Positives.N': 3866L, 'Setup.Runtime': 0.94, 'Distinct Edges.N': 84578395L, 'Scoring.Runtime': 61.500000000000036, 'F-Measure.F-Measure': 0.00041282764189668776, 'Setup.Memory': 47587328L, 'Scoring.Memory': 3085586432L, 'False Positives.N': 18710072, 'Recall.Recall': 0.2505833549390718, 'Average Weight.N': 1.3110773738376096, 'Graph.Memory': 47628288L, 'Ground Truth Entity Pairs.N': 15428, 'Pruning.Runtime': 249.50999999999996, 'Precision.Precision': 0.00020658399103384866, 'Overall Runtime.Runtime': 570.4100000000001, 'Records.N': 18000, 'Pruning.Memory': 1978744832L, 'Total Weight.N': 110888820L, 'Graph.Runtime': 258.43, 'False Negatives.N': 11562, 'RevIdx.Runtime': 0.030000000000000027, 'Output Entity Pairs.N': 18713938, 'RevIdx.Memory': 47620096L}
REVIDX {'True Positives.N': 4062L, 'Setup.Runtime': 0.99, 'Distinct Edges.N': 94615730L, 'Scoring.Runtime': 72.61000000000004, 'F-Measure.F-Measure': 0.00039356014683223327, 'Setup.Memory': 48799744L, 'Scoring.Memory': 3363119104L, 'False Positives.N': 20622139, 'Recall.Recall': 0.2517820616128432, 'Average Weight.N': 1.306216503323496, 'Graph.Memory': 48852992L, 'Ground Truth Entity Pairs.N': 16133, 'Pruning.Runtime': 287.76, 'Precision.Precision': 0.00019693398701971343, 'Overall Runtime.Runtime': 652.6700000000001, 'Records.N': 19000, 'Pruning.Memory': 2256433152L, 'Total Weight.N': 123588628L, 'Graph.Runtime': 291.27, 'False Negatives.N': 12071, 'RevIdx.Runtime': 0.040000000000000036, 'Output Entity Pairs.N': 20626201, 'RevIdx.Memory': 48844800L}
REVIDX {'True Positives.N': 4212L, 'Setup.Runtime': 1.06, 'Distinct Edges.N': 105174312L, 'Scoring.Runtime': 77.33000000000004, 'F-Measure.F-Measure': 0.00036946352396361734, 'Setup.Memory': 49905664L, 'Scoring.Memory': 3794235392L, 'False Positives.N': 22779703, 'Recall.Recall': 0.2520344662517951, 'Average Weight.N': 1.3044234223276878, 'Graph.Memory': 49995776L, 'Ground Truth Entity Pairs.N': 16712, 'Pruning.Runtime': 315.98, 'Precision.Precision': 0.00018486726271582386, 'Overall Runtime.Runtime': 711.93, 'Records.N': 20000, 'Pruning.Memory': 2686468096L, 'Total Weight.N': 137191836L, 'Graph.Runtime': 317.52, 'False Negatives.N': 12500, 'RevIdx.Runtime': 0.030000000000000027, 'Output Entity Pairs.N': 22783915, 'RevIdx.Memory': 49987584L}
REVIDX {'True Positives.N': 4436L, 'Setup.Runtime': 1.19, 'Distinct Edges.N': 115711887L, 'Scoring.Runtime': 89.16000000000008, 'F-Measure.F-Measure': 0.00035534360970070425, 'Setup.Memory': 51130368L, 'Scoring.Memory': 3956822016L, 'False Positives.N': 24945251, 'Recall.Recall': 0.2506781193490054, 'Average Weight.N': 1.302359696199579, 'Graph.Memory': 51249152L, 'Ground Truth Entity Pairs.N': 17696, 'Pruning.Runtime': 361.49999999999994, 'Precision.Precision': 0.00017779782167207147, 'Overall Runtime.Runtime': 803.89, 'Records.N': 21000, 'Pruning.Memory': 2848985088L, 'Total Weight.N': 150698498L, 'Graph.Runtime': 351.99, 'False Negatives.N': 13260, 'RevIdx.Runtime': 0.050000000000000044, 'Output Entity Pairs.N': 24949687, 'RevIdx.Memory': 51240960L}
REVIDX {'True Positives.N': 4586L, 'Setup.Runtime': 1.25, 'Distinct Edges.N': 126361952L, 'Scoring.Runtime': 89.79999999999997, 'F-Measure.F-Measure': 0.0003353249681720961, 'Setup.Memory': 53788672L, 'Scoring.Memory': 4137783296L, 'False Positives.N': 27329676, 'Recall.Recall': 0.2504779070402534, 'Average Weight.N': 1.3036874264177243, 'Graph.Memory': 57053184L, 'Ground Truth Entity Pairs.N': 18309, 'Pruning.Runtime': 365.65000000000003, 'Precision.Precision': 0.0001677747875541692, 'Overall Runtime.Runtime': 837.66, 'Records.N': 22000, 'Pruning.Memory': 3029913600L, 'Total Weight.N': 164736488L, 'Graph.Runtime': 380.90999999999997, 'False Negatives.N': 13723, 'RevIdx.Runtime': 0.050000000000000044, 'Output Entity Pairs.N': 27334262, 'RevIdx.Memory': 57044992L}
REVIDX {'True Positives.N': 4736L, 'Setup.Runtime': 1.2, 'Distinct Edges.N': 137722886L, 'Scoring.Runtime': 99.78999999999996, 'F-Measure.F-Measure': 0.0003169234018354522, 'Setup.Memory': 62234624L, 'Scoring.Memory': 4468686848L, 'False Positives.N': 29863828, 'Recall.Recall': 0.252129471890971, 'Average Weight.N': 1.304335395643684, 'Graph.Memory': 65507328L, 'Ground Truth Entity Pairs.N': 18784, 'Pruning.Runtime': 397.77, 'Precision.Precision': 0.00015856135567816383, 'Overall Runtime.Runtime': 913.2800000000001, 'Records.N': 23000, 'Pruning.Memory': 3361308672L, 'Total Weight.N': 179636835L, 'Graph.Runtime': 414.47, 'False Negatives.N': 14048, 'RevIdx.Runtime': 0.050000000000000044, 'Output Entity Pairs.N': 29868564, 'RevIdx.Memory': 65499136L}
REVIDX {'True Positives.N': 4970L, 'Setup.Runtime': 1.27, 'Distinct Edges.N': 149979476L, 'Scoring.Runtime': 116.89999999999992, 'F-Measure.F-Measure': 0.0003043171427939002, 'Setup.Memory': 63369216L, 'Scoring.Memory': 4675981312L, 'False Positives.N': 32638942, 'Recall.Recall': 0.25643671637170423, 'Average Weight.N': 1.305538085757814, 'Graph.Memory': 66678784L, 'Ground Truth Entity Pairs.N': 19381, 'Pruning.Runtime': 430.90000000000003, 'Precision.Precision': 0.00015224890938316462, 'Overall Runtime.Runtime': 989.6400000000001, 'Records.N': 24000, 'Pruning.Memory': 3568300032L, 'Total Weight.N': 195803918L, 'Graph.Runtime': 440.48, 'False Negatives.N': 14411, 'RevIdx.Runtime': 0.09000000000000008, 'Output Entity Pairs.N': 32643912, 'RevIdx.Memory': 66670592L}
REVIDX {'True Positives.N': 5185L, 'Setup.Runtime': 1.34, 'Distinct Edges.N': 161543992L, 'Scoring.Runtime': 126.19999999999996, 'F-Measure.F-Measure': 0.0002939312660583338, 'Setup.Memory': 65024000L, 'Scoring.Memory': 5945712640L, 'False Positives.N': 35255248, 'Recall.Recall': 0.26023890784982934, 'Average Weight.N': 1.30569402420116, 'Graph.Memory': 68358144L, 'Ground Truth Entity Pairs.N': 19924, 'Pruning.Runtime': 465.65999999999997, 'Precision.Precision': 0.00014704867634495584, 'Overall Runtime.Runtime': 1071.8, 'Records.N': 25000, 'Pruning.Memory': 3763724288L, 'Total Weight.N': 210927025L, 'Graph.Runtime': 478.51, 'False Negatives.N': 14739, 'RevIdx.Runtime': 0.08999999999999986, 'Output Entity Pairs.N': 35260433, 'RevIdx.Memory': 68349952L}
REVIDX {'True Positives.N': 5312L, 'Setup.Runtime': 1.41, 'Distinct Edges.N': 173478934L, 'Scoring.Runtime': 151.89999999999986, 'F-Measure.F-Measure': 0.00028098607386574815, 'Setup.Memory': 66129920L, 'Scoring.Memory': 5656948736L, 'False Positives.N': 37784059, 'Recall.Recall': 0.2612630336415503, 'Average Weight.N': 1.3048852663574702, 'Graph.Memory': 69492736L, 'Ground Truth Entity Pairs.N': 20332, 'Pruning.Runtime': 505.40000000000003, 'Precision.Precision': 0.00014056862708828892, 'Overall Runtime.Runtime': 1177.77, 'Records.N': 26000, 'Pruning.Memory': 4221345792L, 'Total Weight.N': 226370105L, 'Graph.Runtime': 518.94, 'False Negatives.N': 15020, 'RevIdx.Runtime': 0.09000000000000008, 'Output Entity Pairs.N': 37789371, 'RevIdx.Memory': 69484544L}
REVIDX {'True Positives.N': 5440L, 'Setup.Runtime': 3.36, 'Distinct Edges.N': 186080889L, 'Scoring.Runtime': 175.63, 'F-Measure.F-Measure': 0.00026856199025366813, 'Setup.Memory': 67866624L, 'Scoring.Memory': 5681647616L, 'False Positives.N': 40485826, 'Recall.Recall': 0.2615887670705905, 'Average Weight.N': 1.304004222593756, 'Graph.Memory': 71213056L, 'Ground Truth Entity Pairs.N': 20796, 'Pruning.Runtime': 541.6800000000001, 'Precision.Precision': 0.00013434996080389288, 'Overall Runtime.Runtime': 1269.4799999999998, 'Records.N': 27000, 'Pruning.Memory': 4423749632L, 'Total Weight.N': 242650265L, 'Graph.Runtime': 548.7099999999999, 'False Negatives.N': 15356, 'RevIdx.Runtime': 0.0900000000000003, 'Output Entity Pairs.N': 40491266, 'RevIdx.Memory': 71204864L}
